#img,PPL/XP,Analytical Code,Image Width,Fabric Code,Petrographic Fabric,Site ,Latitude#number,Longitude#number,Excavation Year,Area,Locus,Basket,Square,Vessel Form Type,#name,Period,Stratum
L3279,XP,NNCC041,2.9 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3279,B.Z643,L12,Churn,Churn,Chalcolithic,II
L438-1,XP,NNCC042,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.438-1,B.7303,L11,Churn,Churn,Chalcolithic,II
L432,XP,NNCC043,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.432,B.7277,M10/L10/M11/L11,Churn,Churn,Chalcolithic,III
L4501,XP,NNCC044,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4501,B.B11,O18/P18,Churn,Churn,Chalcolithic,I
L734,XP,NNCC045,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.734,,P12,Churn,Churn,Chalcolithic,III
L7285,XP,NNCC046,2.9 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.515,B.7285,G9/G10,Churn,Churn,Chalcolithic,I
L4536,XP,NNCC047,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4536,B.137,P20/Q20,Churn,Churn,Chalcolithic,IIA
L568-1,XP,NNCC048,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.568-1,B.8203,G9,Churn,Churn,Chalcolithic,II
B7136,XP,NNCC049,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.382,B.7136,J10,Churn,Churn,Chalcolithic,I
L4556-3,XP,NNCC050,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4556-3,,A19/B19,Churn,Churn,Chalcolithic,IIA
L258-2,XP,NNCC051,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,North Trench,L.258-2,,L9,Churn,Churn,Chalcolithic,IA
L3037,XP,NNCC052,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,Y,L.3037,B.Z126,M10,Churn,Churn,Chalcolithic,III
415,XP,NNCC053,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.415,,M11,Churn,Churn,Chalcolithic,I
L3263,XP,NNCC054,2.9 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3263,B.Z607,L12,Churn,Churn,Chalcolithic,I
560-10_50x_PPL,PPL,NNCC055,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.560-10,B.all,Topsoil,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,I
560-10_50x_XP,XP,NNCC056,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.560-10,B.all,Topsoil,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,I
AHV525_50X_PPL,PPL,NNCC056,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.525,B.all,C1,Necked Jar,Necked Jar,Chalcolithic,IIIA
AHV525_50X_XP,XP,NNCC056,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.525,B.all,C1,Necked Jar,Necked Jar,Chalcolithic,IIIA
AHV543_50X_PPL,PPL,NNCC057,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.543,B.all,B1,Churn,Churn,Chalcolithic,IIIB
NT124_50X_PPL,PPL,NNCC058,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,A,L.124,,V19,Churn,Churn,Chalcolithic,IIIBEarly
NT124_50X_XP,XP,NNCC058,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,A,L.124,,V19,Churn,Churn,Chalcolithic,IIIBEarly
NT739_50X_PPL,PPL,NNCC059,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,C-West,L.739,,E16,Churn,Churn,Chalcolithic,IV
NT739_50X_XP,XP,NNCC059,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,C-West,L.739,,E16,Churn,Churn,Chalcolithic,IV
1-28_50x_PPL,PPL,NNCC060,3.0 mm,1,Silty Calcareous Fabric,Mezad Aluf,31.18483, 34.619239,1993,Mezad Aluf,L.1,B.28,SE,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,NA
1-28_50x_XP,XP,NNCC060,3.0 mm,1,Silty Calcareous Fabric,Mezad Aluf,31.18483, 34.619239,1993,Mezad Aluf,L.1,B.28,SE,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,NA
