PPL/XP,Analytical Code#long,#img,Image Width (mm),Fabric Code,Petrographic Fabric,#name,Site,Latitude#number,Longitude#number,Artifact Number#long,Decoration/Ware,Period,Fe ppm (INAA)#number,Na ppm (INAA)#number,Ca ppm (INAA)#number,Sm ppm (INAA)#number,Lu ppm (INAA)#number,U ppm (INAA)#number,Yb ppm (INAA)#number,As ppm (INAA)#number,Sb ppm (INAA)#number,La ppm (INAA)#number,Ce ppm (INAA)#number,Th ppm (INAA)#number,Cr ppm (INAA)#number,Hf ppm (INAA)#number,Cs ppm (INAA)#number,Sc ppm (INAA)#number,Rb ppm (INAA)#number,Ta ppm (INAA)#number,Co ppm (INAA)#number,Eu ppm (INAA)#number,Tb ppm (INAA)#number
XP,CYC052,XPL_CYL_052_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 52,Light-on-Red,Middle Neolithic,4.72,0.18,12.18,6.48,0.48,3.0,3.33,63.9,1.5,29.3,40.0,7.29,139,3.31,10.60,20.6,90,0.6,15.69,1.55,0.8
PPL,CYC053,PPL_CYL_053_097_,9.7,Cyclops Cave 10,Polycrystalline Quartz Fabric 1,Polycrystalline Quartz Fabric 1,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 53,White-on-Dark,Late Neolithic I,3.39,1.06,0.50,5.65,0.19,1.5,1.47,10.4,0.9,39.4,85.9,17.00,67,3.55,4.94,12.6,100,0.9,8.55,1.06,0.6
XP,CYC053,XPL_CYL_053_097_,9.7,Cyclops Cave 10,Polycrystalline Quartz Fabric 1,Polycrystalline Quartz Fabric 1,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 53,White-on-Dark,Late Neolithic I,3.39,1.06,0.50,5.65,0.19,1.5,1.47,10.4,0.9,39.4,85.9,17.00,67,3.55,4.94,12.6,100,0.9,8.55,1.06,0.6
PPL,CYC053,PPL_CYL_053_021_,2.1,Cyclops Cave 10,Polycrystalline Quartz Fabric 1,Polycrystalline Quartz Fabric 1,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 53,White-on-Dark,Late Neolithic I,3.39,1.06,0.50,5.65,0.19,1.5,1.47,10.4,0.9,39.4,85.9,17.00,67,3.55,4.94,12.6,100,0.9,8.55,1.06,0.6
XP,CYC053,XPL_CYL_053_021_,2.1,Cyclops Cave 10,Polycrystalline Quartz Fabric 1,Polycrystalline Quartz Fabric 1,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 53,White-on-Dark,Late Neolithic I,3.39,1.06,0.50,5.65,0.19,1.5,1.47,10.4,0.9,39.4,85.9,17.00,67,3.55,4.94,12.6,100,0.9,8.55,1.06,0.6
PPL,CYC054,PPL_CYL_054_097_,9.7,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 54,Pattern Burnished,Middle Neolithic,5.94,0.40,1.97,8.56,0.50,2.7,4.17,37.9,1.3,42.4,100.9,17.10,209,6.45,11.80,20.5,130,1.4,25.55,1.78,1.3
XP,CYC054,XPL_CYL_054_097_,9.7,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 54,Pattern Burnished,Middle Neolithic,5.94,0.40,1.97,8.56,0.50,2.7,4.17,37.9,1.3,42.4,100.9,17.10,209,6.45,11.80,20.5,130,1.4,25.55,1.78,1.3
PPL,CYC054,PPL_CYL_054_021_,2.1,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 54,Pattern Burnished,Middle Neolithic,5.94,0.40,1.97,8.56,0.50,2.7,4.17,37.9,1.3,42.4,100.9,17.10,209,6.45,11.80,20.5,130,1.4,25.55,1.78,1.3
XP,CYC054,XPL_CYL_054_021_,2.1,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 54,Pattern Burnished,Middle Neolithic,5.94,0.40,1.97,8.56,0.50,2.7,4.17,37.9,1.3,42.4,100.9,17.10,209,6.45,11.80,20.5,130,1.4,25.55,1.78,1.3
PPL,CYC055,PPL_CYL_055_097_,9.7,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 55,Pattern Burnished,Middle Neolithic,6.00,0.42,1.77,8.73,0.52,2.5,4.24,31.1,1.3,44.6,93.0,16.30,208,6.14,11.20,20.8,120,1.4,22.82,1.74,1.2
XP,CYC055,XPL_CYL_055_097_,9.7,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 55,Pattern Burnished,Middle Neolithic,6.00,0.42,1.77,8.73,0.52,2.5,4.24,31.1,1.3,44.6,93.0,16.30,208,6.14,11.20,20.8,120,1.4,22.82,1.74,1.2
PPL,CYC055,PPL_CYL_055_021_,2.1,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 55,Pattern Burnished,Middle Neolithic,6.00,0.42,1.77,8.73,0.52,2.5,4.24,31.1,1.3,44.6,93.0,16.30,208,6.14,11.20,20.8,120,1.4,22.82,1.74,1.2
XP,CYC055,XPL_CYL_055_021_,2.1,Cyclops Cave 4,Grog and Phyllite Fabric ,Grog and Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 55,Pattern Burnished,Middle Neolithic,6.00,0.42,1.77,8.73,0.52,2.5,4.24,31.1,1.3,44.6,93.0,16.30,208,6.14,11.20,20.8,120,1.4,22.82,1.74,1.2
PPL,CYC056,PPL_CYL_056_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 56,Matt Painted,Late Neolithic I,5.29,1.54,7.34,9.32,0.46,2.7,3.87,32.0,3.3,54.7,118.7,19.80,133,5.31,5.34,18.6,110,1.5,20.84,1.86,1.1
XP,CYC056,XPL_CYL_056_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 56,Matt Painted,Late Neolithic I,5.29,1.54,7.34,9.32,0.46,2.7,3.87,32.0,3.3,54.7,118.7,19.80,133,5.31,5.34,18.6,110,1.5,20.84,1.86,1.1
PPL,CYC056,PPL_CYL_056_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 56,Matt Painted,Late Neolithic I,5.29,1.54,7.34,9.32,0.46,2.7,3.87,32.0,3.3,54.7,118.7,19.80,133,5.31,5.34,18.6,110,1.5,20.84,1.86,1.1
XP,CYC056,XPL_CYL_056_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 56,Matt Painted,Late Neolithic I,5.29,1.54,7.34,9.32,0.46,2.7,3.87,32.0,3.3,54.7,118.7,19.80,133,5.31,5.34,18.6,110,1.5,20.84,1.86,1.1
PPL,CYC057,PPL_CYL_057_097_,9.7,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 57,Matt Painted,Late Neolithic I,9.92,0.44,1.77,5.59,0.46,1.8,3.52,10.4,0.7,22.5,67.4,6.53,555,4.50,3.71,40.1,60,1.0,49.21,1.41,1.2
XP,CYC057,XPL_CYL_057_097_,9.7,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 57,Matt Painted,Late Neolithic I,9.92,0.44,1.77,5.59,0.46,1.8,3.52,10.4,0.7,22.5,67.4,6.53,555,4.50,3.71,40.1,60,1.0,49.21,1.41,1.2
PPL,CYC057,PPL_CYL_057_021_,2.1,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 57,Matt Painted,Late Neolithic I,9.92,0.44,1.77,5.59,0.46,1.8,3.52,10.4,0.7,22.5,67.4,6.53,555,4.50,3.71,40.1,60,1.0,49.21,1.41,1.2
XP,CYC057,XPL_CYL_057_021_,2.1,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 57,Matt Painted,Late Neolithic I,9.92,0.44,1.77,5.59,0.46,1.8,3.52,10.4,0.7,22.5,67.4,6.53,555,4.50,3.71,40.1,60,1.0,49.21,1.41,1.2
PPL,CYC059,PPL_CYL_059_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 59,Matt Painted,Late Neolithic I,4.54,1.12,4.03,7.44,0.40,2.5,3.15,32.3,2.7,44.0,91.1,16.80,137,5.43,7.18,16.7,140,1.3,18.98,1.45,0.8
XP,CYC059,XPL_CYL_059_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 59,Matt Painted,Late Neolithic I,4.54,1.12,4.03,7.44,0.40,2.5,3.15,32.3,2.7,44.0,91.1,16.80,137,5.43,7.18,16.7,140,1.3,18.98,1.45,0.8
PPL,CYC059,PPL_CYL_059_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 59,Matt Painted,Late Neolithic I,4.54,1.12,4.03,7.44,0.40,2.5,3.15,32.3,2.7,44.0,91.1,16.80,137,5.43,7.18,16.7,140,1.3,18.98,1.45,0.8
XP,CYC059,XPL_CYL_059_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 59,Matt Painted,Late Neolithic I,4.54,1.12,4.03,7.44,0.40,2.5,3.15,32.3,2.7,44.0,91.1,16.80,137,5.43,7.18,16.7,140,1.3,18.98,1.45,0.8
PPL,CYC060,PPL_CYL_060_097_,9.7,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 60,Matt Painted,Late Neolithic I,9.45,0.49,0.82,5.51,0.46,2.2,3.56,12.1,0.6,22.9,43.6,6.34,538,4.27,4.33,38.5,60,1.1,45.74,1.54,0.7
XP,CYC060,XPL_CYL_060_097_,9.7,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 60,Matt Painted,Late Neolithic I,9.45,0.49,0.82,5.51,0.46,2.2,3.56,12.1,0.6,22.9,43.6,6.34,538,4.27,4.33,38.5,60,1.1,45.74,1.54,0.7
PPL,CYC060,PPL_CYL_060_021_,2.1,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 60,Matt Painted,Late Neolithic I,9.45,0.49,0.82,5.51,0.46,2.2,3.56,12.1,0.6,22.9,43.6,6.34,538,4.27,4.33,38.5,60,1.1,45.74,1.54,0.7
XP,CYC060,XPL_CYL_060_021_,2.1,Cyclops Cave 7,Serpentinite Fabric ,Serpentinite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 60,Matt Painted,Late Neolithic I,9.45,0.49,0.82,5.51,0.46,2.2,3.56,12.1,0.6,22.9,43.6,6.34,538,4.27,4.33,38.5,60,1.1,45.74,1.54,0.7
PPL,CYC061,PPL_CYL_061_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 61,Matt Painted,Late Neolithic I,4.55,1.13,3.94,6.16,0.35,1.9,2.99,15.8,3.0,35.2,77.2,16.20,140,5.67,6.83,17.0,140,1.3,17.58,1.25,0.9
XP,CYC061,XPL_CYL_061_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 61,Matt Painted,Late Neolithic I,4.55,1.13,3.94,6.16,0.35,1.9,2.99,15.8,3.0,35.2,77.2,16.20,140,5.67,6.83,17.0,140,1.3,17.58,1.25,0.9
PPL,CYC061,PPL_CYL_061_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 61,Matt Painted,Late Neolithic I,4.55,1.13,3.94,6.16,0.35,1.9,2.99,15.8,3.0,35.2,77.2,16.20,140,5.67,6.83,17.0,140,1.3,17.58,1.25,0.9
XP,CYC061,XPL_CYL_061_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 61,Matt Painted,Late Neolithic I,4.55,1.13,3.94,6.16,0.35,1.9,2.99,15.8,3.0,35.2,77.2,16.20,140,5.67,6.83,17.0,140,1.3,17.58,1.25,0.9
PPL,CYC062,PPL_CYL_062_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 62,Matt Painted,Late Neolithic I,5.36,1.02,6.38,9.17,0.47,3.2,3.86,34.5,3.0,53.5,112.4,19.50,158,5.17,4.36,18.0,110,1.2,18.18,1.68,1.2
XP,CYC062,XPL_CYL_062_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 62,Matt Painted,Late Neolithic I,5.36,1.02,6.38,9.17,0.47,3.2,3.86,34.5,3.0,53.5,112.4,19.50,158,5.17,4.36,18.0,110,1.2,18.18,1.68,1.2
PPL,CYC062,PPL_CYL_062_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 62,Matt Painted,Late Neolithic I,5.36,1.02,6.38,9.17,0.47,3.2,3.86,34.5,3.0,53.5,112.4,19.50,158,5.17,4.36,18.0,110,1.2,18.18,1.68,1.2
XP,CYC062,XPL_CYL_062_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 62,Matt Painted,Late Neolithic I,5.36,1.02,6.38,9.17,0.47,3.2,3.86,34.5,3.0,53.5,112.4,19.50,158,5.17,4.36,18.0,110,1.2,18.18,1.68,1.2
PPL,CYC063,PPL_CYL_063_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 63,Matt Painted,Late Neolithic I,5.37,1.55,6.54,8.71,0.44,2.6,3.57,37.9,3.3,50.7,106.5,19.00,134,5.28,6.20,18.9,140,1.5,20.50,1.66,1.0
XP,CYC063,XPL_CYL_063_097_,9.7,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 63,Matt Painted,Late Neolithic I,5.37,1.55,6.54,8.71,0.44,2.6,3.57,37.9,3.3,50.7,106.5,19.00,134,5.28,6.20,18.9,140,1.5,20.50,1.66,1.0
PPL,CYC063,PPL_CYL_063_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 63,Matt Painted,Late Neolithic I,5.37,1.55,6.54,8.71,0.44,2.6,3.57,37.9,3.3,50.7,106.5,19.00,134,5.28,6.20,18.9,140,1.5,20.50,1.66,1.0
XP,CYC063,XPL_CYL_063_021_,2.1,Cyclops Cave 3,Fine Mica and Quartz Fabric ,Fine Mica and Quartz Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 63,Matt Painted,Late Neolithic I,5.37,1.55,6.54,8.71,0.44,2.6,3.57,37.9,3.3,50.7,106.5,19.00,134,5.28,6.20,18.9,140,1.5,20.50,1.66,1.0
PPL,CYC064,PPL_CYL_064_097_,9.7,Cyclops Cave 12,Schist Fabric,Schist Fabric,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 64,Matt Painted,Late Neolithic I,5.63,1.12,0.63,7.25,0.43,3.0,3.43,7.2,0.7,40.6,99.0,16.70,117,8.76,2.80,18.8,100,1.0,22.33,1.44,1.1
XP,CYC064,XPL_CYL_064_097_,9.7,Cyclops Cave 12,Schist Fabric,Schist Fabric,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 64,Matt Painted,Late Neolithic I,5.63,1.12,0.63,7.25,0.43,3.0,3.43,7.2,0.7,40.6,99.0,16.70,117,8.76,2.80,18.8,100,1.0,22.33,1.44,1.1
PPL,CYC064,PPL_CYL_064_021_,2.1,Cyclops Cave 12,Schist Fabric,Schist Fabric,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 64,Matt Painted,Late Neolithic I,5.63,1.12,0.63,7.25,0.43,3.0,3.43,7.2,0.7,40.6,99.0,16.70,117,8.76,2.80,18.8,100,1.0,22.33,1.44,1.1
XP,CYC064,XPL_CYL_064_021_,2.1,Cyclops Cave 12,Schist Fabric,Schist Fabric,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 64,Matt Painted,Late Neolithic I,5.63,1.12,0.63,7.25,0.43,3.0,3.43,7.2,0.7,40.6,99.0,16.70,117,8.76,2.80,18.8,100,1.0,22.33,1.44,1.1
