PPL/XP,Analytical Code,#img,Image Width (mm),Fabric Code,Petrographic Fabric,#name,Site,Latitude#number,Longitude#number,Artifact Number#long,Vessel Form Type,Period,Fe ppm (INAA)#number,Na ppm (INAA)#number,Ca ppm (INAA)#number,Sm ppm (INAA)#number,Lu ppm (INAA)#number,U ppm (INAA)#number,Yb ppm (INAA)#number,As ppm (INAA)#number,Sb ppm (INAA)#number,La ppm (INAA)#number,Ce ppm (INAA)#number,Th ppm (INAA)#number,Cr ppm (INAA)#number,Hf ppm (INAA)#number,Cs ppm (INAA)#number,Sc ppm (INAA)#number,Rb ppm (INAA)#number,Ta ppm (INAA)#number,Co ppm (INAA)#number,Eu ppm (INAA)#number,petfab_computed
XP,KTJ045,KOMX(45),8.3,1a,Quartz and Calcite with chert sub-Fabric,Quartz and Calcite with chert sub-Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6392,Egyptian Jar,Late Minoan IIIB,6.08,1.02,8.05,7.1,0.41,3.0,3.09,3.5,0.3,34.6,77.7,6.93,115.0,7.23,,19.29,40,1.8,31.43,1.87,Quartz and Calcite Fabric
PPL,KTJ045,PPL_KOM_045_033_,3.3,1a,Quartz and Calcite with chert sub-Fabric,Quartz and Calcite with chert sub-Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6392,Egyptian Jar,Late Minoan IIIB,6.08,1.02,8.05,7.1,0.41,3.0,3.09,3.5,0.3,34.6,77.7,6.93,115.0,7.23,,19.29,40,1.8,31.43,1.87,Quartz and Calcite Fabric
XP,KTJ045,XPL_KOM_045_033_,3.3,1a,Quartz and Calcite with chert sub-Fabric,Quartz and Calcite with chert sub-Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6392,Egyptian Jar,Late Minoan IIIB,6.08,1.02,8.05,7.1,0.41,3.0,3.09,3.5,0.3,34.6,77.7,6.93,115.0,7.23,,19.29,40,1.8,31.43,1.87,Main south-central Cretan Fabric
PPL,KTJ046,KOM(46),8.3,11,Quartz and Schist Fabric,Quartz and Schist Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8726,Egyptian Jar,Late Minoan IIIA,4.37,1.3,3.63,3.91,0.27,1.8,2.12,7.9,0.7,21.0,45.0,6.91,435.0,3.53,6.41,16.9,70,0.8,30.21,0.99,Quartz and Calcite Fabric
XP,KTJ046,KOMX(46),8.3,11,Quartz and Schist Fabric,Quartz and Schist Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8726,Egyptian Jar,Late Minoan IIIA,4.37,1.3,3.63,3.91,0.27,1.8,2.12,7.9,0.7,21.0,45.0,6.91,435.0,3.53,6.41,16.9,70,0.8,30.21,0.99,Quartz and Calcite Fabric
PPL,KTJ046,PPL_KOM_046_033_,3.3,11,Quartz and Schist Fabric,Quartz and Schist Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8726,Egyptian Jar,Late Minoan IIIA,4.37,1.3,3.63,3.91,0.27,1.8,2.12,7.9,0.7,21.0,45.0,6.91,435.0,3.53,6.41,16.9,70,0.8,30.21,0.99,Quartz and Calcite Fabric
XP,KTJ046,XPL_KOM_046_033_,3.3,11,Quartz and Schist Fabric,Quartz and Schist Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8726,Egyptian Jar,Late Minoan IIIA,4.37,1.3,3.63,3.91,0.27,1.8,2.12,7.9,0.7,21.0,45.0,6.91,435.0,3.53,6.41,16.9,70,0.8,30.21,0.99,Quartz and Calcite Fabric
PPL,KTJ047,KOM(47),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7448,Egyptian Jar,Late Minoan IIIA,5.23,0.34,11.01,6.53,0.35,2.1,2.86,6.6,0.4,34.0,82.3,8.03,99.5,7.48,1.6,16.16,30,1.8,22.06,1.74,Quartz and Calcite Fabric
XP,KTJ047,KOMX(47),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7448,Egyptian Jar,Late Minoan IIIA,5.23,0.34,11.01,6.53,0.35,2.1,2.86,6.6,0.4,34.0,82.3,8.03,99.5,7.48,1.6,16.16,30,1.8,22.06,1.74,Quartz and Calcite Fabric
PPL,KTJ047,PPL_KOM_047_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7448,Egyptian Jar,Late Minoan IIIA,5.23,0.34,11.01,6.53,0.35,2.1,2.86,6.6,0.4,34.0,82.3,8.03,99.5,7.48,1.6,16.16,30,1.8,22.06,1.74,Quartz and Calcite Fabric
XP,KTJ047,XPL_KOM_047_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7448,Egyptian Jar,Late Minoan IIIA,5.23,0.34,11.01,6.53,0.35,2.1,2.86,6.6,0.4,34.0,82.3,8.03,99.5,7.48,1.6,16.16,30,1.8,22.06,1.74,Quartz and Calcite Fabric
PPL,KTJ048,KOM(48),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C4574,Egyptian Jar,Late Minoan IIIA,3.84,1.12,11.79,6.82,0.34,2.8,2.8,6.6,0.5,35.2,76.8,7.14,117.0,5.75,1.59,14.5,40,1.7,15.43,1.53,Quartz and Calcite Fabric
XP,KTJ048,KOMX(48),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C4574,Egyptian Jar,Late Minoan IIIA,3.84,1.12,11.79,6.82,0.34,2.8,2.8,6.6,0.5,35.2,76.8,7.14,117.0,5.75,1.59,14.5,40,1.7,15.43,1.53,Quartz and Calcite Fabric
PPL,KTJ048,PPL_KOM_048_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C4574,Egyptian Jar,Late Minoan IIIA,3.84,1.12,11.79,6.82,0.34,2.8,2.8,6.6,0.5,35.2,76.8,7.14,117.0,5.75,1.59,14.5,40,1.7,15.43,1.53,Quartz and Metamorphic Fabric
XP,KTJ048,XPL_KOM_048_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C4574,Egyptian Jar,Late Minoan IIIA,3.84,1.12,11.79,6.82,0.34,2.8,2.8,6.6,0.5,35.2,76.8,7.14,117.0,5.75,1.59,14.5,40,1.7,15.43,1.53,Quartz and Calcite Fabric
PPL,KTJ049,KOM(49),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3559,Egyptian Jar,Late Minoan II,5.03,1.12,10.54,7.65,0.4,3.1,3.22,6.9,,39.8,87.0,7.99,105.0,5.9,,18.1,40,2.1,26.59,1.86,Quartz and Calcite Fabric
XP,KTJ049,KOMX(49),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3559,Egyptian Jar,Late Minoan II,5.03,1.12,10.54,7.65,0.4,3.1,3.22,6.9,,39.8,87.0,7.99,105.0,5.9,,18.1,40,2.1,26.59,1.86,Quartz and Calcite Fabric
PPL,KTJ049,PPL_KOM_049_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3559,Egyptian Jar,Late Minoan II,5.03,1.12,10.54,7.65,0.4,3.1,3.22,6.9,,39.8,87.0,7.99,105.0,5.9,,18.1,40,2.1,26.59,1.86,Quartz and Calcite Fabric
XP,KTJ049,XPL_KOM_049_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3559,Egyptian Jar,Late Minoan II,5.03,1.12,10.54,7.65,0.4,3.1,3.22,6.9,,39.8,87.0,7.99,105.0,5.9,,18.1,40,2.1,26.59,1.86,Quartz and Calcite Fabric
PPL,KTJ050 ,KOM(50),8.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7072,Egyptian Jar,Late Minoan IIIA,4.68,1.13,14.44,8.17,0.41,3.0,3.41,,0.3,41.5,91.2,8.37,107.0,6.48,1.88,17.25,40,2.3,17.12,1.81,Quartz and Calcite Fabric
XP,KTJ050 ,KOMX(50),8.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7072,Egyptian Jar,Late Minoan IIIA,4.68,1.13,14.44,8.17,0.41,3.0,3.41,,0.3,41.5,91.2,8.37,107.0,6.48,1.88,17.25,40,2.3,17.12,1.81,Quartz and Calcite Fabric
PPL,KTJ050 ,PPL_KOM_050_033_,3.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7072,Egyptian Jar,Late Minoan IIIA,4.68,1.13,14.44,8.17,0.41,3.0,3.41,,0.3,41.5,91.2,8.37,107.0,6.48,1.88,17.25,40,2.3,17.12,1.81,Quartz and Calcite Fabric
XP,KTJ050 ,XPL_KOM_050_033_,3.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7072,Egyptian Jar,Late Minoan IIIA,4.68,1.13,14.44,8.17,0.41,3.0,3.41,,0.3,41.5,91.2,8.37,107.0,6.48,1.88,17.25,40,2.3,17.12,1.81,Main south-central Cretan Fabric
PPL,KTJ051,KOM(51),8.3,1a,Quartz and Calcite with chert sub-Fabric,Quartz and Calcite with chert sub-Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7070,Egyptian Jar,Late Minoan IIIA,3.48,0.81,10.01,7.3,0.4,4.0,3.07,6.6,1.5,41.1,82.6,10.8,128.0,4.7,4.31,12.31,70,1.2,9.66,1.5,Quartz and Calcite Fabric
XP,KTJ051,KOMX(51),8.3,1a,Quartz and Calcite with chert sub-Fabric,Quartz and Calcite with chert sub-Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7070,Egyptian Jar,Late Minoan IIIA,3.48,0.81,10.01,7.3,0.4,4.0,3.07,6.6,1.5,41.1,82.6,10.8,128.0,4.7,4.31,12.31,70,1.2,9.66,1.5,Quartz and Calcite Fabric
PPL,KTJ051,PPL_KOM_051_033_,3.3,1a,Quartz and Calcite with chert sub-Fabric,Quartz and Calcite with chert sub-Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7070,Egyptian Jar,Late Minoan IIIA,3.48,0.81,10.01,7.3,0.4,4.0,3.07,6.6,1.5,41.1,82.6,10.8,128.0,4.7,4.31,12.31,70,1.2,9.66,1.5,Quartz and Clay Pellet Fabric
XP,KTJ051,XPL_KOM_051_033_,3.3,1a,Quartz and Calcite with chert sub-Fabric,Quartz and Calcite with chert sub-Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C7070,Egyptian Jar,Late Minoan IIIA,3.48,0.81,10.01,7.3,0.4,4.0,3.07,6.6,1.5,41.1,82.6,10.8,128.0,4.7,4.31,12.31,70,1.2,9.66,1.5,Quartz and Calcite Fabric
PPL,KTJ052,KOM(52),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3350,Egyptian Jar,Late Minoan IIIA,4.6,0.4,12.7,6.68,0.36,2.7,2.85,7.5,0.4,34.7,75.9,7.23,95.4,6.61,1.52,14.57,40,1.5,19.26,1.48,Quartz and Calcite Fabric
XP,KTJ052,KOMX(52),8.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3350,Egyptian Jar,Late Minoan IIIA,4.6,0.4,12.7,6.68,0.36,2.7,2.85,7.5,0.4,34.7,75.9,7.23,95.4,6.61,1.52,14.57,40,1.5,19.26,1.48,Quartz and Calcite Fabric
PPL,KTJ052,PPL_KOM_052_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3350,Egyptian Jar,Late Minoan IIIA,4.6,0.4,12.7,6.68,0.36,2.7,2.85,7.5,0.4,34.7,75.9,7.23,95.4,6.61,1.52,14.57,40,1.5,19.26,1.48,Quartz and Clay Pellet Fabric
XP,KTJ052,XPL_KOM_052_033_,3.3,1,Quartz and Calcite Fabric,Quartz and Calcite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C3350,Egyptian Jar,Late Minoan IIIA,4.6,0.4,12.7,6.68,0.36,2.7,2.85,7.5,0.4,34.7,75.9,7.23,95.4,6.61,1.52,14.57,40,1.5,19.26,1.48,"Quartz, Chert and Macrofossils Fabric"
PPL,KTJ053,KOM(53),8.3,9,Quartz and Metamorphic Fabric,Quartz and Metamorphic Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6949,Egyptian Jar,Late Minoan IIIB,4.76,1.27,13.79,7.98,0.41,3.3,3.24,5.6,0.4,41.0,89.8,8.32,107.0,6.39,2.04,17.5,40,2.0,16.4,1.73,Chert Fabric
XP,KTJ053,KOMX(53),8.3,9,Quartz and Metamorphic Fabric,Quartz and Metamorphic Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6949,Egyptian Jar,Late Minoan IIIB,4.76,1.27,13.79,7.98,0.41,3.3,3.24,5.6,0.4,41.0,89.8,8.32,107.0,6.39,2.04,17.5,40,2.0,16.4,1.73,Quartz and Metamorphic Fabric
PPL,KTJ053,PPL_KOM_053_033_,3.3,9,Quartz and Metamorphic Fabric,Quartz and Metamorphic Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6949,Egyptian Jar,Late Minoan IIIB,4.76,1.27,13.79,7.98,0.41,3.3,3.24,5.6,0.4,41.0,89.8,8.32,107.0,6.39,2.04,17.5,40,2.0,16.4,1.73,Quartz and Calcite Fabric
XP,KTJ053,XPL_KOM_053_033_,3.3,9,Quartz and Metamorphic Fabric,Quartz and Metamorphic Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6949,Egyptian Jar,Late Minoan IIIB,4.76,1.27,13.79,7.98,0.41,3.3,3.24,5.6,0.4,41.0,89.8,8.32,107.0,6.39,2.04,17.5,40,2.0,16.4,1.73,Main south-central Cretan Fabric
PPL,KTJ054,KOM(54),8.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2763,Egyptian Jar,Late Minoan IB,4.59,0.64,5.13,7.22,0.45,3.3,3.51,6.9,1.2,40.5,91.6,12.6,132.0,6.42,7.06,17.52,110,1.5,23.4,1.5,Quartz and Calcite Fabric
XP,KTJ054,KOMX(54),8.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2763,Egyptian Jar,Late Minoan IB,4.59,0.64,5.13,7.22,0.45,3.3,3.51,6.9,1.2,40.5,91.6,12.6,132.0,6.42,7.06,17.52,110,1.5,23.4,1.5,Quartz and Calcite Fabric
PPL,KTJ054,PPL_KOM_054_033_,3.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2763,Egyptian Jar,Late Minoan IB,4.59,0.64,5.13,7.22,0.45,3.3,3.51,6.9,1.2,40.5,91.6,12.6,132.0,6.42,7.06,17.52,110,1.5,23.4,1.5,Phyllite Fabric
XP,KTJ054,XPL_KOM_054_033_,3.3,6,Fusilinid Fabric,Fusilinid Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C2763,Egyptian Jar,Late Minoan IB,4.59,0.64,5.13,7.22,0.45,3.3,3.51,6.9,1.2,40.5,91.6,12.6,132.0,6.42,7.06,17.52,110,1.5,23.4,1.5,Quartz and Calcite Fabric
PPL,KTJ055,KOM(55),8.3,7,Serpentine and Micrite Fabric,Serpentine and Micrite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8069,Caananite Jar,Late Minoan IIIA,4.6,0.4,13.2,7.44,0.45,2.5,3.79,9.2,0.6,42.1,82.6,9.97,536.0,5.12,3.48,16.41,60,1.3,32.39,1.66,Chert Fabric
XP,KTJ055,KOMX(55),8.3,7,Serpentine and Micrite Fabric,Serpentine and Micrite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8069,Caananite Jar,Late Minoan IIIA,4.6,0.4,13.2,7.44,0.45,2.5,3.79,9.2,0.6,42.1,82.6,9.97,536.0,5.12,3.48,16.41,60,1.3,32.39,1.66,Quartz and Calcite Fabric
PPL,KTJ055,PPL_KOM_055_033_,3.3,7,Serpentine and Micrite Fabric,Serpentine and Micrite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8069,Caananite Jar,Late Minoan IIIA,4.6,0.4,13.2,7.44,0.45,2.5,3.79,9.2,0.6,42.1,82.6,9.97,536.0,5.12,3.48,16.41,60,1.3,32.39,1.66,Main south-central Cretan Fabric
XP,KTJ055,XPL_KOM_055_033_,3.3,7,Serpentine and Micrite Fabric,Serpentine and Micrite Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C8069,Caananite Jar,Late Minoan IIIA,4.6,0.4,13.2,7.44,0.45,2.5,3.79,9.2,0.6,42.1,82.6,9.97,536.0,5.12,3.48,16.41,60,1.3,32.39,1.66,Quartz and Calcite Fabric
PPL,KTJ056,KOM(56),8.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C9167,Caananite Jar,Late Minoan IIIA,4.94,0.38,15.65,6.36,0.34,3.5,2.66,17.4,0.7,29.2,67.5,6.29,142.0,4.42,1.68,13.22,40,1.4,21.19,1.51,Main south-central Cretan Fabric
XP,KTJ056,KOMX(56),8.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C9167,Caananite Jar,Late Minoan IIIA,4.94,0.38,15.65,6.36,0.34,3.5,2.66,17.4,0.7,29.2,67.5,6.29,142.0,4.42,1.68,13.22,40,1.4,21.19,1.51,Macrofossiliferous Clay Pellet Fabric
PPL,KTJ056,PPL_KOM_056_033_,3.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C9167,Caananite Jar,Late Minoan IIIA,4.94,0.38,15.65,6.36,0.34,3.5,2.66,17.4,0.7,29.2,67.5,6.29,142.0,4.42,1.68,13.22,40,1.4,21.19,1.51,Quartz and Calcite Fabric
XP,KTJ056,XPL_KOM_056_033_,3.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C9167,Caananite Jar,Late Minoan IIIA,4.94,0.38,15.65,6.36,0.34,3.5,2.66,17.4,0.7,29.2,67.5,6.29,142.0,4.42,1.68,13.22,40,1.4,21.19,1.51,Macrofossiliferous Clay Pellet Fabric
PPL,KTJ057,KOM(57),8.3,12,Alkali feldspar Fabric,Alkali feldspar Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6840,Caananite Jar,Historic,4.88,1.69,1.95,8.8,0.54,4.6,4.65,14.3,0.9,69.3,141.6,27.4,156.0,9.96,8.75,15.42,140,2.6,20.1,1.15,Quartz and Calcite Fabric
XP,KTJ057,KOMX(57),8.3,12,Alkali feldspar Fabric,Alkali feldspar Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6840,Caananite Jar,Historic,4.88,1.69,1.95,8.8,0.54,4.6,4.65,14.3,0.9,69.3,141.6,27.4,156.0,9.96,8.75,15.42,140,2.6,20.1,1.15,Quartz and Calcite Fabric
PPL,KTJ057,PPL_KOM_057_033_,3.3,12,Alkali feldspar Fabric,Alkali feldspar Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6840,Caananite Jar,Historic,4.88,1.69,1.95,8.8,0.54,4.6,4.65,14.3,0.9,69.3,141.6,27.4,156.0,9.96,8.75,15.42,140,2.6,20.1,1.15,Macrofossiliferous Clay Pellet Fabric
XP,KTJ057,XPL_KOM_057_033_,3.3,12,Alkali feldspar Fabric,Alkali feldspar Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C6840,Caananite Jar,Historic,4.88,1.69,1.95,8.8,0.54,4.6,4.65,14.3,0.9,69.3,141.6,27.4,156.0,9.96,8.75,15.42,140,2.6,20.1,1.15,Macrofossiliferous Clay Pellet Fabric
PPL,KTJ058,KOM(58),8.3,5,Chert Fabric,Chert Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11232,Caananite Jar,Late Minoan IIIA,2.67,0.25,11.73,4.54,0.3,1.4,2.41,3.9,0.3,24.9,46.1,5.11,3223.0,2.4,1.1,10.25,10,0.6,23.58,0.99,Main south-central Cretan Fabric
XP,KTJ058,KOMX(58),8.3,5,Chert Fabric,Chert Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11232,Caananite Jar,Late Minoan IIIA,2.67,0.25,11.73,4.54,0.3,1.4,2.41,3.9,0.3,24.9,46.1,5.11,3223.0,2.4,1.1,10.25,10,0.6,23.58,0.99,Macrofossiliferous Clay Pellet Fabric
PPL,KTJ058,PPL_KOM_058_033_,3.3,5,Chert Fabric,Chert Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11232,Caananite Jar,Late Minoan IIIA,2.67,0.25,11.73,4.54,0.3,1.4,2.41,3.9,0.3,24.9,46.1,5.11,3223.0,2.4,1.1,10.25,10,0.6,23.58,0.99,Quartz and Calcite Fabric
XP,KTJ058,XPL_KOM_058_033_,3.3,5,Chert Fabric,Chert Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11232,Caananite Jar,Late Minoan IIIA,2.67,0.25,11.73,4.54,0.3,1.4,2.41,3.9,0.3,24.9,46.1,5.11,3223.0,2.4,1.1,10.25,10,0.6,23.58,0.99,Macrofossiliferous Clay Pellet Fabric
PPL,KTJ059,KOM(59),8.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11141,Caananite Jar,Late Minoan IIIB,7.03,0.46,10.17,9.16,0.53,5.8,3.92,19.7,1.2,45.1,98.3,9.18,190.0,6.18,2.31,20.0,50,2.0,34.12,2.23,Quartz and Calcite Fabric
XP,KTJ059,KOMX(59),8.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11141,Caananite Jar,Late Minoan IIIB,7.03,0.46,10.17,9.16,0.53,5.8,3.92,19.7,1.2,45.1,98.3,9.18,190.0,6.18,2.31,20.0,50,2.0,34.12,2.23,Quartz and Calcite Fabric
PPL,KTJ059,PPL_KOM_059_033_,3.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11141,Caananite Jar,Late Minoan IIIB,7.03,0.46,10.17,9.16,0.53,5.8,3.92,19.7,1.2,45.1,98.3,9.18,190.0,6.18,2.31,20.0,50,2.0,34.12,2.23,Main south-central Cretan Fabric
XP,KTJ059,XPL_KOM_059_033_,3.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C11141,Caananite Jar,Late Minoan IIIB,7.03,0.46,10.17,9.16,0.53,5.8,3.92,19.7,1.2,45.1,98.3,9.18,190.0,6.18,2.31,20.0,50,2.0,34.12,2.23,Quartz and Calcite Fabric
PPL,KTJ060,KOM(60),8.3,3,Quartz and Clay Pellet Fabric,Quartz and Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10362,Caananite Jar,Late Minoan IIIB,4.11,0.35,8.4,6.08,0.36,2.1,3.0,7.8,0.4,30.1,76.6,9.35,109.0,9.04,0.97,12.06,30,1.6,19.24,1.32,Quartz and Calcite Fabric
XP,KTJ060,KOMX(60),8.3,3,Quartz and Clay Pellet Fabric,Quartz and Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10362,Caananite Jar,Late Minoan IIIB,4.11,0.35,8.4,6.08,0.36,2.1,3.0,7.8,0.4,30.1,76.6,9.35,109.0,9.04,0.97,12.06,30,1.6,19.24,1.32,Quartz and Calcite Fabric
PPL,KTJ060,PPL_KOM_060_033_,3.3,3,Quartz and Clay Pellet Fabric,Quartz and Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10362,Caananite Jar,Late Minoan IIIB,4.11,0.35,8.4,6.08,0.36,2.1,3.0,7.8,0.4,30.1,76.6,9.35,109.0,9.04,0.97,12.06,30,1.6,19.24,1.32,Quartz and Calcite Fabric
XP,KTJ060,XPL_KOM_060_033_,3.3,3,Quartz and Clay Pellet Fabric,Quartz and Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10362,Caananite Jar,Late Minoan IIIB,4.11,0.35,8.4,6.08,0.36,2.1,3.0,7.8,0.4,30.1,76.6,9.35,109.0,9.04,0.97,12.06,30,1.6,19.24,1.32,Main south-central Cretan Fabric
PPL,KTJ061,KOM(61),8.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10360,Caananite Jar,Late Minoan IIIB,5.57,1.02,4.36,5.6,0.35,2.5,2.91,9.3,0.7,30.6,69.3,11.4,268.0,4.72,6.85,19.58,120,1.1,27.74,1.16,Macrofossiliferous Clay Pellet Fabric
XP,KTJ061,KOMX(61),8.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10360,Caananite Jar,Late Minoan IIIB,5.57,1.02,4.36,5.6,0.35,2.5,2.91,9.3,0.7,30.6,69.3,11.4,268.0,4.72,6.85,19.58,120,1.1,27.74,1.16,Chert Fabric
PPL,KTJ061,PPL_KOM_061_033_,3.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10360,Caananite Jar,Late Minoan IIIB,5.57,1.02,4.36,5.6,0.35,2.5,2.91,9.3,0.7,30.6,69.3,11.4,268.0,4.72,6.85,19.58,120,1.1,27.74,1.16,Macrofossiliferous Clay Pellet Fabric
XP,KTJ061,XPL_KOM_061_033_,3.3,2,Macrofossiliferous Clay Pellet Fabric,Macrofossiliferous Clay Pellet Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C10360,Caananite Jar,Late Minoan IIIB,5.57,1.02,4.36,5.6,0.35,2.5,2.91,9.3,0.7,30.6,69.3,11.4,268.0,4.72,6.85,19.58,120,1.1,27.74,1.16,Macrofossiliferous Clay Pellet Fabric
PPL,KTJ062,KOM(62),8.3,5,Chert Fabric,Chert Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C9865,Caananite Jar,Not known,4.53,0.6,10.7,5.95,0.3,3.3,2.44,9.3,0.6,29.7,65.7,7.81,206.0,4.02,2.31,15.51,40,1.3,20.39,1.34,Chert Fabric
XP,KTJ062,KOMX(62),8.3,5,Chert Fabric,Chert Fabric,"Kommos, Crete, Greece",35.01303454,24.76069987,C9865,Caananite Jar,Not known,4.53,0.6,10.7,5.95,0.3,3.3,2.44,9.3,0.6,29.7,65.7,7.81,206.0,4.02,2.31,15.51,40,1.3,20.39,1.34,Chert Fabric
